feature_set,outcome,model,tier,metric,mean,std
F_NEW,gose_12m,Stacking,T2_Ensemble,R2,0.6964800119053889,0.047650443427360606
F_NEW,gose_12m,Ordinal_LR,T3_Ordinal,R2,0.5865918680460879,0.0
F_NEW,fim_total_12m,LASSO,T1_Classical,R2,0.6767296927887323,0.03212161166046565
F_NEW,fim_total_12m,RF,T1_Classical,R2,0.6271972585955758,0.030720046006776663
F_NEW,fim_total_12m,GBR,T1_Classical,R2,0.6655353628668663,0.030170908782953674
F_NEW,fim_total_12m,Stacking,T2_Ensemble,R2,0.6799205902840999,0.03240144023121114
F_NEW,barthel_12m,LASSO,T1_Classical,R2,0.637179403651148,0.036909544908694594
F_NEW,barthel_12m,RF,T1_Classical,R2,0.5899453635936505,0.03940010030353681
F_NEW,barthel_12m,GBR,T1_Classical,R2,0.6202017127769708,0.03249336583165141
F_NEW,barthel_12m,Stacking,T2_Ensemble,R2,0.6405676343340476,0.03752135872563042
F_NEW,hads_anxiety_12m,LASSO,T1_Classical,R2,0.5217553111905467,0.014482174293333724
F_NEW,hads_anxiety_12m,RF,T1_Classical,R2,0.485376406308455,0.02601558087514373
F_NEW,hads_anxiety_12m,GBR,T1_Classical,R2,0.49975667366635745,0.022062035676412066
F_NEW,hads_anxiety_12m,Stacking,T2_Ensemble,R2,0.525381857182978,0.01694373971276686
F_NEW,moca_12m,LASSO,T1_Classical,R2,0.44702070019297524,0.0209768750051506
F_NEW,moca_12m,RF,T1_Classical,R2,0.3894687879984199,0.011095847574883381
F_NEW,moca_12m,GBR,T1_Classical,R2,0.4142872877890067,0.014433520542146624
F_NEW,moca_12m,Stacking,T2_Ensemble,R2,0.44150021690139696,0.02257864149905396
F_NEW,return_to_work_12m,LogReg,T1_Classical,AUC,0.8547742769812476,0.009448721387850592
F_NEW,return_to_work_12m,RF,T1_Classical,AUC,0.8299987256014338,0.007036953602613548
F_NEW,return_to_work_12m,GBC,T1_Classical,AUC,0.8515285457804327,0.006001019009536311
F_NEW,return_to_work_12m,Stacking,T2_Ensemble,AUC,0.8629706753789185,0.004942384477558132
F_NEW,mortality_12m,LogReg,T1_Classical,AUC,0.5729545035271773,0.019736771606338258
F_NEW,mortality_12m,RF,T1_Classical,AUC,0.572990384789667,0.021536962319261093
F_NEW,mortality_12m,GBC,T1_Classical,AUC,0.5473958124816879,0.03870545261850017
